"eventId"	"subjectOrganismId"	"interactionType"	"interactionTypeId"	"objectOrganismId"
"evt_1"	"1"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_1"
"evt_2"	"2"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_2"
"evt_3"	"3"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_3"
"evt_4"	"4"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_4"
"evt_5"	"5"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_5"
"evt_6"	"6"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_6"
"evt_7"	"7"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_7"
"evt_8"	"8"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_8"
"evt_9"	"9"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_9"
"evt_10"	"9"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_10"
"evt_11"	"10"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_11"
"evt_12"	"11"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_12"
"evt_13"	"12"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_13"
"evt_14"	"13"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_14"
"evt_15"	"14"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_15"
"evt_16"	"14"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_16"
"evt_17"	"15"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_17"
"evt_18"	"15"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_18"
"evt_19"	"16"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_19"
"evt_20"	"17"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_20"
"evt_21"	"18"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_21"
"evt_22"	"19"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_22"
"evt_23"	"20"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_23"
"evt_24"	"20"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_24"
"evt_25"	"21"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_25"
"evt_26"	"1"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_26"
"evt_27"	"23"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_27"
"evt_28"	"24"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_28"
"evt_29"	"25"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_29"
"evt_30"	"3"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_30"
"evt_31"	"27"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_31"
"evt_32"	"28"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_32"
"evt_33"	"28"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_33"
"evt_34"	"29"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_34"
"evt_35"	"30"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_35"
"evt_36"	"30"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_36"
"evt_37"	"13"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_37"
"evt_38"	"32"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_38"
"evt_39"	"12"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_39"
"evt_40"	"12"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_40"
"evt_41"	"12"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_41"
"evt_42"	"34"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_42"
"evt_43"	"34"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_43"
"evt_44"	"34"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_44"
"evt_45"	"34"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_45"
"evt_46"	"34"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_46"
"evt_47"	"35"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_47"
"evt_48"	"36"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_48"
"evt_49"	"37"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_49"
"evt_50"	"38"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_50"
"evt_51"	"39"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_51"
"evt_52"	"39"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_52"
"evt_53"	"40"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_53"
"evt_54"	"41"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_54"
"evt_55"	"12"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_55"
"evt_56"	"35"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_56"
"evt_57"	"44"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_57"
"evt_58"	"45"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_58"
"evt_59"	"46"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_59"
"evt_60"	"47"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_60"
"evt_61"	"48"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_61"
"evt_62"	"49"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_62"
"evt_63"	"50"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_63"
"evt_64"	"51"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_64"
"evt_65"	"51"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_65"
"evt_66"	"52"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_66"
"evt_67"	"52"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_67"
"evt_68"	"52"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_68"
"evt_69"	"53"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_69"
"evt_70"	"54"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_70"
"evt_71"	"55"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_71"
"evt_72"	"56"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_72"
"evt_73"	"57"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_73"
"evt_74"	"58"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_74"
"evt_75"	"59"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_75"
"evt_76"	"60"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_76"
"evt_77"	"61"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_77"
"evt_78"	"62"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_78"
"evt_79"	"63"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_79"
"evt_80"	"64"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_80"
"evt_81"	"65"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_81"
"evt_82"	"66"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_82"
"evt_83"	"67"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_83"
"evt_84"	"68"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_84"
"evt_85"	"69"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_85"
"evt_86"	"70"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_86"
"evt_87"	"71"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_87"
"evt_88"	"71"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_88"
"evt_89"	"72"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_89"
"evt_90"	"73"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_90"
"evt_91"	"74"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_91"
