assertion_target_id,assertion_target_type,assertion_type,assertion_value,assertion_value_numeric,assertion_unit,assertion_made_date,assertion_effective_date,assertion_by_agent_name,assertion_by_agent_id,assertion_protocol,assertion_protocol_id,assertion_citation,assertion_remarks
5c6c5a4c24a038167535c4b46e1e33ab654dd3e4,ORGANISM,sex,Q,,,,2012-06-26,,,,,,
efe366a5b1091b3e734cf04413dd2cf6011b7d28,ORGANISM,sex,M,,,,2013-10-12,,,,,,
cf579cfc9c148d9309dcc0b270e50dce443aeb7b,ORGANISM,sex,M,,,,2013-10-13,,,,,,
b4bad5285ae7c7b14f4042c57fa3c2d6f2f439c0,ORGANISM,sex,F,,,,2010-12-12,,,,,,
f624678705b17317e6eb76168a853031907e6e95,ORGANISM,sex,M,,,,2010-04-15,,,,,,
89655d1521ef5bd04f908432a188243cb900c644,ORGANISM,sex,Q,,,,2011-11-16,,,,,,
096baaca187e9f43be7d93cb4ebf14a6026d834c,ORGANISM,sex,M,,,,2010-05-01,,,,,,
b209e3d998bd601c5d7aa828bb426386b28809ab,ORGANISM,sex,M,,,,2013-10-13,,,,,,
3832b97065d92616327504897a569e0afd8ba227,ORGANISM,sex,Q,,,,2010-04-08,,,,,,
0191fe4209dcad7c6ed92553f6ecb162f44b2abc,ORGANISM,sex,Q,,,,2010-04-14,,,,,,
2d1b733e83c9a6ece142ef06f7d467dfefb784c6,ORGANISM,sex,F,,,,2010-11-18,,,,,,
9dcd297652758b689ef3b2c933dafbafcb9a2dc6,ORGANISM,sex,F,,,,2013-10-02,,,,,,
d72143e087e3274501918baff4cb70e7dc0a9ba5,ORGANISM,sex,F,,,,2013-10-02,,,,,,
43316ee74e38632a3dedddcafdab9130a327b3f3,ORGANISM,sex,M,,,,2013-10-11,,,,,,
080ddd859f3fbb7adb19270b5c501d41bd53b97f,ORGANISM,sex,F,,,,2014-10-21,,,,,,
a58726ffc3e36c013e43b494086b674538b62b69,ORGANISM,sex,M,,,,2010-02-08,,,,,,
74223538b32c853b815221d85a24f4675f170b1f,ORGANISM,sex,M,,,,2010-04-15,,,,,,
4e19142486acc86c6f9e6e8a9b478741affe4082,ORGANISM,sex,M,,,,2010-04-15,,,,,,
d9fd8b1eb9313c7db4cdb081eda4b7d6f96e13df,ORGANISM,sex,M,,,,2010-04-09,,,,,,
fe1795231fa7ac607f62d923c1276d54892183e0,ORGANISM,sex,M,,,,2010-04-12,,,,,,
4259a6629b670d694cf791b7ac24516af379ede6,ORGANISM,sex,M,,,,2010-04-12,,,,,,
71fb4a7d63ef14d4284dbabbdeb4fc2516f855ee,ORGANISM,sex,M,,,,2010-02-02,,,,,,
1067bda20c835995655dcb3816a0b6c57958e98b,ORGANISM,sex,M,,,,2010-02-02,,,,,,
4529433bcf3bf2ce87994df5e27e5ec4e3e0dbd5,ORGANISM,sex,M,,,,2010-02-04,,,,,,
b91bd192282644cdefe594c892c21833dd89ea29,ORGANISM,sex,M,,,,2010-02-04,,,,,,
6863d081fa4c217225c731b431271347a460b891,ORGANISM,sex,M,,,,2010-02-04,,,,,,
eb8b0e24a6ea98c9c750c389565b2390a1e171cd,ORGANISM,sex,M,,,,2010-12-08,,,,,,
68a3d5340895f4ead15ddd6ae2d108e5b5fc1219,ORGANISM,sex,M,,,,2010-12-08,,,,,,
95fc0d43713eec5b0b88bd9f6abe864199cf8fec,ORGANISM,sex,M,,,,2010-12-08,,,,,,
72fbcf60e4179c6ecfe5b759f09f02a187248577,ORGANISM,sex,M,,,,2010-12-08,,,,,,
fc168672c9768f86cf7fe393fa3c1910a02c9099,ORGANISM,sex,M,,,,2010-12-08,,,,,,
c39e32021e1dc252513bbf271e3793f5909407b7,ORGANISM,sex,M,,,,2010-12-08,,,,,,
669ef64c14ae521c390c01f357ab0a2f20d27194,ORGANISM,sex,M,,,,2010-12-08,,,,,,
a273f4d398a5c44d6eef51bfa2bd9335c81735b2,ORGANISM,sex,M,,,,2010-12-08,,,,,,
097cbcd7edae1c78b47a4719514e5fce8624e3f2,ORGANISM,sex,M,,,,2010-12-08,,,,,,
c4c44c9970ff46014801f0ef53b1c62043b996f7,ORGANISM,sex,M,,,,2010-12-08,,,,,,
bf5b0861915278d418e326390971b0863d42d53b,ORGANISM,sex,M,,,,2010-12-08,,,,,,
33299b5b406875ea3229cc4fa1bcbe476af875b9,ORGANISM,sex,M,,,,2010-12-08,,,,,,
caa36d0c8578d26b693e6ec0b6a69d8450026aaa,ORGANISM,sex,M,,,,2010-12-08,,,,,,
c30e5634b6553a5e921004b089f774393b3be652,ORGANISM,sex,M,,,,2010-12-08,,,,,,
cd34646c9be7c34942f4362b8705b6303b354e4b,ORGANISM,sex,M,,,,2010-12-08,,,,,,
