location_id,parent_location_id,higher_geography_id,higher_geography,continent,water_body,island_group,island,country,country_code,state_province,county,municipality,locality,minimum_elevation_in_meters,maximum_elevation_in_meters,minimum_distance_above_surface_in_meters,maximum_distance_above_surface_in_meters,minimum_depth_in_meters,maximum_depth_in_meters,vertical_datum,location_according_to,location_remarks,decimal_latitude,decimal_longitude,geodetic_datum,coordinate_uncertainty_in_meters,coordinate_precision,point_radius_spatial_fit,footprint_wkt,footprint_srs,footprint_spatial_fit,georeferenced_by,georeferenced_date,georeference_protocol,georeference_sources,georeference_remarks,preferred_spatial_representation
32779b605d76b14bbe3f547116543f2290fe7ed6,,,,,,,,México,MX,Chiapas,,San Cristóbal de Las Casas,Barrio Juan Sabines,2130.0,,,,,,,,,16.709,92.6157,EPSG:4326,,,,,,,,,,,,
2d615996fc349d2d80b5704adf80f61fb00b16e2,,,,,,,,México,MX,Chiapas,,Oxchuc,Mukulwitz,1972.0,,,,,,,,,16.8019,92.32189,EPSG:4326,,,,,,,,,,,,
3ee92a503da9cf6fb540534d9f089cdadf7c6a42,,,,,,,,México,MX,Chiapas,,Oxchuc,Retiro,2231.0,,,,,,,,,16.78602,92.36719,EPSG:4326,,,,,,,,,,,,
29f7b199eb17cbb422ea50fb99abafb6f7505e0c,,,,,,,,México,MX,Chiapas,,Ocosingo,Sibaca,1107.0,,,,,,,,,16.94469,92.18388,EPSG:4326,,,,,,,,,,,,
0325f7f1cbf9c2c04556d4bb92d129a4d507dd6b,,,,,,,,México,MX,Chiapas,,Ocosingo,Rosario,1118.0,,,,,,,,,16.88589,92.27417,EPSG:4326,,,,,,,,,,,,
0360eae101b021bed9535fd2bd4ccce7762dbf02,,,,,,,,México,MX,Chiapas,,La Trinitaria,San Francisco de Asís,767.0,,,,,,,,,16.0118,92.0267,EPSG:4326,,,,,,,,,,,,
d085c8d666080dbe9d195b403e0fb45edebf66d2,,,,,,,,Guatemala,GT,Huehuetenango,,La Democracia,Pinalito,963.0,,,,,,,,,15.6653,91.8618,EPSG:4326,,,,,,,,,,,,
95570693bdd577291fc6aac2c25512331cc69eef,,,,,,,,México,MX,Chiapas,,San Juan Cancuc,Chicja,1170.0,,,,,,,,,16.9024,92.3595,EPSG:4326,,,,,,,,,,,,
5a61e634ec49d3919b83a13434809a009040ffa1,,,,,,,,México,MX,Chiapas,,Ocosingo,Ocosingo,880.0,,,,,,,,,16.89199,92.08374,EPSG:4326,,,,,,,,,,,,
956ba4e17f3520fac3ba6c3d3de520528adb0d58,,,,,,,,Guatemala,GT,Huehuetenango,,La Democracia,Cajuil,1026.0,,,,,,,,,15.63746,91.78722,EPSG:4326,,,,,,,,,,,,
dff1a5995821d967a7154ee5acf7da85d7af30b0,,,,,,,,México,MX,Chiapas,,Oxchuc,El Calvario,1980.0,,,,,,,,,16.7907,92.3452,EPSG:4326,,,,,,,,,,,,
100d2d2b702463296601258626ea2e81bdc3e56a,,,,,,,,México,MX,Chiapas,,Oxchuc,Cerro Naj’ til Wits,1980.0,,,,,,,,,16.80509,92.3606,EPSG:4326,,,,,,,,,,,,
53b72321e3dd9e00962e772be846916b7527d53b,,,,,,,,México,MX,Oaxaca,,San Andrés Paxtlán,Car. 175,2397.0,,,,,,,,,16.21103,96.53598,EPSG:4326,,,,,,,,,,,,
c6fe78a0941c3e63c26c74466071459b163414c8,,,,,,,,México,MX,Chiapas,,Ocosingo,Ocosingo,1110.0,,,,,,,,,16.91625,92.13153,EPSG:4326,,,,,,,,,,,,
35ba3a804cd866498be9c9c7b292d6a2fd48ab27,,,,,,,,México,MX,Chiapas,,Ocosingo,Ocosingo,1290.0,,,,,,,,,16.86149,92.10616,EPSG:4326,,,,,,,,,,,,
