event_id	parent_event_id	dataset_id	location_id	protocol_id	event_type	event_name	recorded_by	recorded_by_id	field_number	event_date	year	month	day	verbatim_event_date	verbatim_locality	verbatim_elevation	verbatim_depth	verbatim_coordinates	verbatim_latitude	verbatim_longitude	verbatim_coordinate_system	verbatim_srs	habitat	protocol_description	sample_size_value	sample_size_unit	event_effort	field_notes	event_citation	event_remarks
evt001			ken_001		organism_interaction		Waruhiu,C.N. | Ommeh,S.C. | Obanda,V.O. | Agwanda,B. | Ge,X.-Y. | Yang,X.-L. | Wu,L.-J. | Zohai,A. | Hu,B. | Shi,Z.-L.			2016-03	2016	3		2016-03	Kenya									Swabs					Waruhiu C, Ommeh S, Obanda V, Agwanda B, Gakuya F, Ge XY, Yang XL, Wu LJ, Zohaib A, Hu B, Shi ZL,  Molecular detection of viruses in Kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses. <a href='http://www.ncbi.nlm.nih.gov/pubmed/28393313' title='View abstract in PubMed' target=_blank><i>Virol Sin</i> 2017, <b>32</b>(2):101-114</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P28393313","<i>Virol Sin</i> 2017, <b>32</b>(2):101-114<br>","PMID=28393313")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt002			ken_001		organism_interaction		Waruhiu,C.N. | Ommeh,S.C. | Obanda,V.O. | Agwanda,B. | Ge,X.-Y. | Yang,X.-L. | Wu,L.-J. | Zohai,A. | Hu,B. | Shi,Z.-L.			2016-03	2016	3		2016-03	Kenya									Swabs					Waruhiu C, Ommeh S, Obanda V, Agwanda B, Gakuya F, Ge XY, Yang XL, Wu LJ, Zohaib A, Hu B, Shi ZL,  Molecular detection of viruses in Kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses. <a href='http://www.ncbi.nlm.nih.gov/pubmed/28393313' title='View abstract in PubMed' target=_blank><i>Virol Sin</i> 2017, <b>32</b>(2):101-114</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P28393313","<i>Virol Sin</i> 2017, <b>32</b>(2):101-114<br>","PMID=28393313")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt003			ken_001		organism_interaction		Waruhiu,C.N. | Ommeh,S.C. | Obanda,V.O. | Agwanda,B. | Ge,X.-Y. | Yang,X.-L. | Wu,L.-J. | Zohai,A. | Hu,B. | Shi,Z.-L.			2016-03	2016	3		2016-03	Kenya									Swabs					Waruhiu C, Ommeh S, Obanda V, Agwanda B, Gakuya F, Ge XY, Yang XL, Wu LJ, Zohaib A, Hu B, Shi ZL,  Molecular detection of viruses in Kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses. <a href='http://www.ncbi.nlm.nih.gov/pubmed/28393313' title='View abstract in PubMed' target=_blank><i>Virol Sin</i> 2017, <b>32</b>(2):101-114</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P28393313","<i>Virol Sin</i> 2017, <b>32</b>(2):101-114<br>","PMID=28393313")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt004			zim_002		organism_interaction		Bourgarel,M. | Pfukeny,D. | Boue,V. | Talignani,L. | Chiweshe,N. | Diop,F. | Caron,A. | Matope,G. | Misse,D. | Liegeois,F.			2016-06-17	2016	6		2016-06-17	Zimbabwe									Feces					Bourgarel M, Pfukenyi DM, Boue V, Talignani L, Chiweshe N, Diop F, Caron A, Matope G, Misse D, Liegeois F,  Circulation of Alphacoronavirus, Betacoronavirus and Paramyxovirus in Hipposideros bat species in Zimbabwe. <a href='http://www.ncbi.nlm.nih.gov/pubmed/29331670' title='View abstract in PubMed' target=_blank><i>Infect Genet Evol</i> 2018, <b>58</b>:253-257</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P29331670","<i>Infect Genet Evol</i> 2018, <b>58</b>:253-257<br>","PMID=29331670")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt005			zim_002		organism_interaction		Bourgarel,M. | Pfukeny,D. | Boue,V. | Talignani,L. | Chiweshe,N. | Diop,F. | Caron,A. | Matope,G. | Misse,D. | Liegeois,F.			2016-06-17	2016	6		2016-06-17	Zimbabwe									Feces					Bourgarel M, Pfukenyi DM, Boue V, Talignani L, Chiweshe N, Diop F, Caron A, Matope G, Misse D, Liegeois F,  Circulation of Alphacoronavirus, Betacoronavirus and Paramyxovirus in Hipposideros bat species in Zimbabwe. <a href='http://www.ncbi.nlm.nih.gov/pubmed/29331670' title='View abstract in PubMed' target=_blank><i>Infect Genet Evol</i> 2018, <b>58</b>:253-257</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P29331670","<i>Infect Genet Evol</i> 2018, <b>58</b>:253-257<br>","PMID=29331670")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt006			zim_002		organism_interaction		Bourgarel,M. | Pfukeny,D. | Boue,V. | Talignani,L. | Chiweshe,N. | Diop,F. | Caron,A. | Matope,G. | Misse,D. | Liegeois,F.			2016-06-17	2016	6		2016-06-17	Zimbabwe									Feces					Bourgarel M, Pfukenyi DM, Boue V, Talignani L, Chiweshe N, Diop F, Caron A, Matope G, Misse D, Liegeois F,  Circulation of Alphacoronavirus, Betacoronavirus and Paramyxovirus in Hipposideros bat species in Zimbabwe. <a href='http://www.ncbi.nlm.nih.gov/pubmed/29331670' title='View abstract in PubMed' target=_blank><i>Infect Genet Evol</i> 2018, <b>58</b>:253-257</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P29331670","<i>Infect Genet Evol</i> 2018, <b>58</b>:253-257<br>","PMID=29331670")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt007			zim_002		organism_interaction		Bourgarel,M. | Pfukeny,D. | Boue,V. | Talignani,L. | Chiweshe,N. | Diop,F. | Caron,A. | Matope,G. | Misse,D. | Liegeois,F.			2016-06-17	2016	6		2016-06-17	Zimbabwe									Feces					Bourgarel M, Pfukenyi DM, Boue V, Talignani L, Chiweshe N, Diop F, Caron A, Matope G, Misse D, Liegeois F,  Circulation of Alphacoronavirus, Betacoronavirus and Paramyxovirus in Hipposideros bat species in Zimbabwe. <a href='http://www.ncbi.nlm.nih.gov/pubmed/29331670' title='View abstract in PubMed' target=_blank><i>Infect Genet Evol</i> 2018, <b>58</b>:253-257</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P29331670","<i>Infect Genet Evol</i> 2018, <b>58</b>:253-257<br>","PMID=29331670")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt008			zim_002		organism_interaction		Bourgarel,M. | Pfukeny,D. | Boue,V. | Talignani,L. | Chiweshe,N. | Diop,F. | Caron,A. | Matope,G. | Misse,D. | Liegeois,F.			2016-06-17	2016	6		2016-06-17	Zimbabwe									Feces					Bourgarel M, Pfukenyi DM, Boue V, Talignani L, Chiweshe N, Diop F, Caron A, Matope G, Misse D, Liegeois F,  Circulation of Alphacoronavirus, Betacoronavirus and Paramyxovirus in Hipposideros bat species in Zimbabwe. <a href='http://www.ncbi.nlm.nih.gov/pubmed/29331670' title='View abstract in PubMed' target=_blank><i>Infect Genet Evol</i> 2018, <b>58</b>:253-257</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P29331670","<i>Infect Genet Evol</i> 2018, <b>58</b>:253-257<br>","PMID=29331670")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt009			zim_002		organism_interaction		Bourgarel,M. | Pfukeny,D. | Boue,V. | Talignani,L. | Chiweshe,N. | Diop,F. | Caron,A. | Matope,G. | Misse,D. | Liegeois,F.			2016-06-17	2016	6		2016-06-17	Zimbabwe									Feces					Bourgarel M, Pfukenyi DM, Boue V, Talignani L, Chiweshe N, Diop F, Caron A, Matope G, Misse D, Liegeois F,  Circulation of Alphacoronavirus, Betacoronavirus and Paramyxovirus in Hipposideros bat species in Zimbabwe. <a href='http://www.ncbi.nlm.nih.gov/pubmed/29331670' title='View abstract in PubMed' target=_blank><i>Infect Genet Evol</i> 2018, <b>58</b>:253-257</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P29331670","<i>Infect Genet Evol</i> 2018, <b>58</b>:253-257<br>","PMID=29331670")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
evt010			zim_002		organism_interaction		Bourgarel,M. | Pfukeny,D. | Boue,V. | Talignani,L. | Chiweshe,N. | Diop,F. | Caron,A. | Matope,G. | Misse,D. | Liegeois,F.			2016-06-17	2016	6		2016-06-17	Zimbabwe									Feces					Bourgarel M, Pfukenyi DM, Boue V, Talignani L, Chiweshe N, Diop F, Caron A, Matope G, Misse D, Liegeois F,  Circulation of Alphacoronavirus, Betacoronavirus and Paramyxovirus in Hipposideros bat species in Zimbabwe. <a href='http://www.ncbi.nlm.nih.gov/pubmed/29331670' title='View abstract in PubMed' target=_blank><i>Infect Genet Evol</i> 2018, <b>58</b>:253-257</a>.  <a href='javascript:void(0)' onClick='javascript:menu2tab4seq("P29331670","<i>Infect Genet Evol</i> 2018, <b>58</b>:253-257<br>","PMID=29331670")' title='Show all sequences reported in this reference'><img src='/DBatVir/images/green_plus.gif' width=16 height=14 border=0></a>	
