materialEntityID	materialEntitySourceID	materialEntitySourceType	materialEntityType	preparations	disposition	institutionCode	institutionID	collectionCode	collectionID	ownerInstitutionCode	catalogNumber	recordNumber	collectedBy	collectedByID	associatedReferences	associatedSequences	otherCatalogNumbers	materialCitation	materialEntityRemarks
me001	bat001	ORGANISM	GENETIC_SEQUENCE																
me002	bat002	ORGANISM	GENETIC_SEQUENCE																
me003	bat003	ORGANISM	GENETIC_SEQUENCE																
me004	bat004	ORGANISM	GENETIC_SEQUENCE																
me005	bat005	ORGANISM	GENETIC_SEQUENCE																
me006	bat006	ORGANISM	GENETIC_SEQUENCE																
me007	bat007	ORGANISM	GENETIC_SEQUENCE																
me008	bat008	ORGANISM	GENETIC_SEQUENCE																
me009	bat009	ORGANISM	GENETIC_SEQUENCE																
me010	bat010	ORGANISM	GENETIC_SEQUENCE																
me011	bat011	ORGANISM	GENETIC_SEQUENCE																
me012	bat012	ORGANISM	GENETIC_SEQUENCE																
me013	bat013	ORGANISM	GENETIC_SEQUENCE																
me014	bat014	ORGANISM	GENETIC_SEQUENCE																
me015	bat015	ORGANISM	GENETIC_SEQUENCE																
me016	bat016	ORGANISM	GENETIC_SEQUENCE																
me017	bat017	ORGANISM	GENETIC_SEQUENCE																
me018	bat018	ORGANISM	GENETIC_SEQUENCE																
me019	bat019	ORGANISM	GENETIC_SEQUENCE																
me020	bat020	ORGANISM	GENETIC_SEQUENCE																
me021	bat021	ORGANISM	GENETIC_SEQUENCE																
me022	bat022	ORGANISM	GENETIC_SEQUENCE																
me023	bat023	ORGANISM	GENETIC_SEQUENCE																
me024	bat024	ORGANISM	GENETIC_SEQUENCE																
me025	bat025	ORGANISM	GENETIC_SEQUENCE																
me026	bat026	ORGANISM	GENETIC_SEQUENCE																
me027	bat027	ORGANISM	GENETIC_SEQUENCE																
me028	bat028	ORGANISM	GENETIC_SEQUENCE																
me029	bat029	ORGANISM	GENETIC_SEQUENCE																
me030	bat030	ORGANISM	GENETIC_SEQUENCE																
me031	bat031	ORGANISM	GENETIC_SEQUENCE																
me032	bat032	ORGANISM	GENETIC_SEQUENCE																
me033	bat033	ORGANISM	GENETIC_SEQUENCE																
me034	bat034	ORGANISM	GENETIC_SEQUENCE																
me035	bat035	ORGANISM	GENETIC_SEQUENCE																
