organismID	organismScope	organismName	organismRemarks	verbatimIdentification	scientificName	family	kingdom	taxonRank
bat001	multicellular organism			Rousettus aegyptiacus	Rousettus aegyptiacus		Animalia	species
bat002	multicellular organism			Hipposideros caffer	Hipposideros caffer		Animalia	species
bat003	multicellular organism			Hipposideros caffer	Hipposideros caffer		Animalia	species
bat004	multicellular organism			Hipposideros	Hipposideros		Animalia	genus
bat005	multicellular organism			Hipposideros	Hipposideros		Animalia	genus
bat006	multicellular organism			Hipposideros	Hipposideros		Animalia	genus
bat007	multicellular organism			Hipposideros	Hipposideros		Animalia	genus
bat008	multicellular organism			Hipposideros	Hipposideros		Animalia	genus
bat009	multicellular organism			Hipposideros	Hipposideros		Animalia	genus
bat010	multicellular organism			Hipposideros	Hipposideros		Animalia	genus
bat011	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
bat012	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat013	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
bat014	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
bat015	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
bat016	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat017	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat018	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
bat019	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat020	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat021	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat022	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
bat023	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat024	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat025	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat026	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat027	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat028	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat029	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat030	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat031	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat032	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
bat033	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
bat034	multicellular organism			Hipposideros ruber	Hipposideros ruber		Animalia	species
bat035	multicellular organism			Hipposideros abae	Hipposideros abae		Animalia	species
vir001	virus	229E-related bat coronavirus		BatCoV5425/KEN/Trans Nzoia	BatCoV5425/KEN/Trans Nzoia	Coronaviridae	Virus	strain
vir002	virus	229E-related bat coronavirus		BatCoV5743/KEN/Kwale	BatCoV5743/KEN/Kwale	Coronaviridae	Virus	strain
vir003	virus	229E-related bat coronavirus		BatCoV5773/KEN/Kwale	BatCoV5773/KEN/Kwale	Coronaviridae	Virus	strain
vir004	virus	229E-related bat coronavirus		BtCov-Zim001Mab	BtCov-Zim001Mab	Coronaviridae	Virus	strain
vir005	virus	229E-related bat coronavirus		BtCov-Zim015Mab	BtCov-Zim015Mab	Coronaviridae	Virus	strain
vir006	virus	229E-related bat coronavirus		BtCov-Zim019Mab	BtCov-Zim019Mab	Coronaviridae	Virus	strain
vir007	virus	229E-related bat coronavirus		BtCov-Zim021Mab	BtCov-Zim021Mab	Coronaviridae	Virus	strain
vir008	virus	229E-related bat coronavirus		BtCov-Zim034Mab	BtCov-Zim034Mab	Coronaviridae	Virus	strain
vir009	virus	229E-related bat coronavirus		BtCov-Zim037Mab	BtCov-Zim037Mab	Coronaviridae	Virus	strain
vir010	virus	229E-related bat coronavirus		BtCov-Zim040Mab	BtCov-Zim040Mab	Coronaviridae	Virus	strain
vir011	virus	229E-related bat coronavirus		BtCoV/AT1A-F1/Hip_aba/GHA/2010	BtCoV/AT1A-F1/Hip_aba/GHA/2010	Coronaviridae	Virus	strain
vir012	virus	229E-related bat coronavirus		BtCoV/AT1A-F26/Hip_cf._rub/GHA/2010	BtCoV/AT1A-F26/Hip_cf._rub/GHA/2010	Coronaviridae	Virus	strain
vir013	virus	229E-related bat coronavirus		BtCoV/AT1A-F41/Hip_aba/GHA/2010	BtCoV/AT1A-F41/Hip_aba/GHA/2010	Coronaviridae	Virus	strain
vir014	virus	229E-related bat coronavirus		BtCoV/AT1A-F45/Hip_aba/GHA/2010	BtCoV/AT1A-F45/Hip_aba/GHA/2010	Coronaviridae	Virus	strain
vir015	virus	229E-related bat coronavirus		BtCoV/AT1A-F63/Hip_aba/GHA/2010	BtCoV/AT1A-F63/Hip_aba/GHA/2010	Coronaviridae	Virus	strain
