sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	targetTaxonLifeStage	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation	MeasurementRemarks
EOL:4433638	Tyrannosaurus rex	RO:0002439	preys on	EOL:4531649	Edmontosaurus		GEONAMES:5690763	"Hell Creek Formation of South Dakota, USA"				doi:10.1073/pnas.1216534110		Evidence: Fused Hadrosaur vertebrae with embedded T. rex tooth
EOL:4433638	Tyrannosaurus rex	RO:0002470	eats	EOL:4531590	Triceratops		GEONAMES:5667009	"Late Maastrichtinan Hell Creek Formation of east-central Montana, USA"					"Erickson, G. M. and K. H. Olson. 1996. Bite marks attributable to Tyrannosaurus rex: Preliminary description and implications. Journal of Vertebrate Paleontology 16(1):175-178."	Evidence: T. rex tooth marks on Triceratops pelvis
EOL:4433638	Tyrannosaurus rex	RO:0002470	eats	EOL:4531649	Edmontosaurus		GEONAMES:5667009	"Late Maastrichtinan Hell Creek Formation of east-central Montana, USA"					"Erickson, G. M. and K. H. Olson. 1996. Bite marks attributable to Tyrannosaurus rex: Preliminary description and implications. Journal of Vertebrate Paleontology 16(1):175-178."	Evidence: T. rex tooth marks on Edmontosaurus proximal pedal phalanx
EOL:2866146	Velociraptor mongoliensis	RO:0002439	preys on	EOL:4531825	Protoceratops andrewsi		GEONAMES:2029969	"Djadokhta Formation about 30 km west of Bayn Dzak at Toogreek, southern Mongolia"					"Carpenter, K. 1998. Evidence of predatory behavior by carnivorous dinosaurs. Gaia 15:135-144."	Evidence: Fighting pair specimen
EOL:4433644	Tarbosaurus bataar	RO:0002470	eats	EOL:4531517	Deinocheirus mirificus		GEONAMES:2029969	Nemegt Formation of Mongolia				doi:10.1016/j.cretres.2012.03.018		Evidence:  Tarbosaurus bataar bite marks on fragments of Deinocheirus mirificus gastralia
EOL:4433638	Tyrannosaurus rex	RO:0002439	preys on	EOL:4531654	Edmontosaurus annectens		GEONAMES:5667009	"Hell Creek Formation along Dry Creek, Dawson County, Montana, USA"					"Carpenter, K. 1998. Evidence of predatory behavior by carnivorous dinosaurs. Gaia 15:135-144."	Evidence: Injury to Edmontosaurus annectens tail attributed to bite of T. rex
EOL:4433881	Compsognathus longipes	RO:0002439	preys on	EOL:4518630	Bavarisaurus		GEONAMES:2951839	"Bavaria, Germany"					"Ostrom, J. H. 1978. The osteology of Compsognathus longipes Wagner.  Zitteliana 4:73-118."	Evidence: Bavarisaurus skeleton preserved within the body cavity of Compsognathus longipes
EOL:4433582	Deinonychus antirrhopus	RO:0002470	eats	EOL:4531936	Tenontosaurus tilletti		GEONAMES:6252001	"Cloverly Formation, NW United States"					"Maxwell, W. D. and J. H. Ostrom. 1995. Taphonomy and paleobiological implications of Tenontosaurus-Deinonychus associations. Journal of Vertebrate Paleontology 15(4):707-712."	Evidence: Skeleton of Tenontosaurus tilletti closely associated with multiple shed teeth of Deinonychus antirrhopus
EOL:4531246	Baryonyx walkeri	RO:0002470	eats	EOL:4653801	Lepidotes		GEONAMES:2636512	"Wallis Wood, Ockley, near Dorking, Surrey, England"					"Charig, A. J. and A. C. Milner. 1997. Baryonyx walkeri, a fish-eating dinosaur from the Wealden of Surrey. Bulletin of the Natural History Museum 53:11-70."	Evidence: Lepidotes bones in stomach region of Baryonyx walkeri specimen
EOL:4531246	Baryonyx walkeri	RO:0002470	eats	EOL:4530741	Iguanodon		GEONAMES:2636512	"Wallis Wood, Ockley, near Dorking, Surrey, England"					"Charig, A. J. and A. C. Milner. 1997. Baryonyx walkeri, a fish-eating dinosaur from the Wealden of Surrey. Bulletin of the Natural History Museum 53:11-70."	Evidence: Iguanodon bones in stomach region of Baryonyx walkeri specimen
EOL:4433551	Microraptor gui	RO:0002470	eats	EOL:42331729	Enantiornithes		GEONAMES:1814991	Early Cretaceous Jiufotang Formation in northeastern China				doi:10.1073/pnas.1117727108		Evidence: Enantiornithine bones in abdomen of Microraptor gui specimen
EOL:4433892	Sinocalliopteryx gigas	RO:0002470	eats	EOL:4433563	Sinornithosaurus		GEONAMES:2036115	"Jianshangou Beds of the lower Yixian Formation (Neocomian), Liaoning, China"				doi:10.1371/journal.pone.0044012		Evidence: Sinornithosaurus bones in abdomen of Sinocalliopteryx gigas specimen
EOL:4433892	Sinocalliopteryx gigas	RO:0002470	eats	EOL:4433896	Confuciusornis sanctus		GEONAMES:2036115	"Jianshangou Beds of the lower Yixian Formation (Neocomian), Liaoning, China"				doi:10.1371/journal.pone.0044012		Evidence: Confuciusornis sanctus bones in abdomen of Sinocalliopteryx gigas specimen
EOL:24210058	Repenomamus robustus	RO:0002470	eats	EOL:4532049	Psittacosaurus	PATO:0001190	GEONAMES:2036115	"Liaoning, China"				doi:10.1038/nature03102		Evidence: Psittacosaurus bones in ribcage of Repenomamus robustus specimen
EOL:4433651	Daspletosaurus	RO:0002470	eats	EOL:42417811	Hadrosauridae	PATO:0001190	GEONAMES:5681965	"Teton County, Montana, USA"				doi:10.1666/0022-3360(2001)075<0401:GCFACT>2.0.CO;2		Evidence: Hadrosaur bones interpreted as gut content of Daspletosaurus
