event_id	subject_organismale_id	interaction_type	interaction_type_id	object_organismale_id
44119	subj_001	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_001
44111	subj_002	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_002
43917	subj_003	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_003
43714	subj_004	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_004
44909	subj_005	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_005
45721	subj_006	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_006
45716	subj_007	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_007
45720	subj_008	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_008
45718	subj_009	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_009
45742	subj_010	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_010
45703	subj_011	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_011
46531	subj_012	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_012
45608	subj_013	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_013
45621	subj_014	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_014
46718	subj_015	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_015
46716	subj_016	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_016
47059	subj_017	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_017
46975	subj_018	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_018
47060	subj_019	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_019
46953	subj_020	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_020
46733	subj_021	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_021
47064	subj_022	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_022
44182	subj_023	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_023
44183	subj_024	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_024
44179	subj_025	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_025
44178	subj_026	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_026
43708	subj_027	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_027
43744	subj_028	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_028
43733	subj_029	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_029
43737	subj_030	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_030
43720	subj_031	has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623	obj_031
