"assertionTargetId"	"assertionTargetType"	"assertionType"	"assertionValue"	"assertionValueNumeric"	"assertionUnit"	"assertionMadeDate"	"assertionEffectiveDate"	"assertionByAgentName"	"assertionByAgentId"	"assertionProtocol"	"assertionProtocolId"	"assertionCitation"	"assertionRemarks"
"sub_1"	"ORGANISM"	"organismQuantity"	""	"64"									
"sub_1"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_1"	"ORGANISM"	"habit"	""	""									
"sub_1"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_2"	"ORGANISM"	"organismQuantity"		""									
"sub_2"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_2"	"ORGANISM"	"habit"	""	""									
"sub_2"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_3"	"ORGANISM"	"organismQuantity"		""									
"sub_3"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_3"	"ORGANISM"	"habit"	""	""									
"sub_3"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_4"	"ORGANISM"	"organismQuantity"		""									
"sub_4"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_4"	"ORGANISM"	"habit"	""	""									
"sub_4"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_5"	"ORGANISM"	"organismQuantity"		""									
"sub_5"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_5"	"ORGANISM"	"habit"	""	""									
"sub_5"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_6"	"ORGANISM"	"organismQuantity"		""									
"sub_6"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_6"	"ORGANISM"	"habit"	""	""									
"sub_6"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_7"	"ORGANISM"	"organismQuantity"		""									
"sub_7"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_7"	"ORGANISM"	"habit"	""	""									
"sub_7"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_8"	"ORGANISM"	"organismQuantity"		""									
"sub_8"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_8"	"ORGANISM"	"habit"	""	""									
"sub_8"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_9"	"ORGANISM"	"organismQuantity"		""									
"sub_9"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_9"	"ORGANISM"	"habit"	""	""									
"sub_9"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_10"	"ORGANISM"	"organismQuantity"		""									
"sub_10"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_10"	"ORGANISM"	"habit"	""	""									
"sub_10"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_11"	"ORGANISM"	"organismQuantity"		""									
"sub_11"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_11"	"ORGANISM"	"habit"	""	""									
"sub_11"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_12"	"ORGANISM"	"organismQuantity"		""									
"sub_12"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_12"	"ORGANISM"	"habit"	""	""									
"sub_12"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_13"	"ORGANISM"	"organismQuantity"		""									
"sub_13"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_13"	"ORGANISM"	"habit"	""	""									
"sub_13"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_14"	"ORGANISM"	"organismQuantity"		""									
"sub_14"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_14"	"ORGANISM"	"habit"	""	""									
"sub_14"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_15"	"ORGANISM"	"organismQuantity"		""									
"sub_15"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_15"	"ORGANISM"	"habit"	""	""									
"sub_15"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_16"	"ORGANISM"	"organismQuantity"		""									
"sub_16"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_16"	"ORGANISM"	"habit"	""	""									
"sub_16"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_17"	"ORGANISM"	"organismQuantity"		""									
"sub_17"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_17"	"ORGANISM"	"habit"	""	""									
"sub_17"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_18"	"ORGANISM"	"organismQuantity"		""									
"sub_18"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_18"	"ORGANISM"	"habit"	""	""									
"sub_18"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_19"	"ORGANISM"	"organismQuantity"		""									
"sub_19"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_19"	"ORGANISM"	"habit"	""	""									
"sub_19"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_20"	"ORGANISM"	"organismQuantity"		""									
"sub_20"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_20"	"ORGANISM"	"habit"	""	""									
"sub_20"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_21"	"ORGANISM"	"organismQuantity"		""									
"sub_21"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_21"	"ORGANISM"	"habit"	""	""									
"sub_21"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_22"	"ORGANISM"	"organismQuantity"		""									
"sub_22"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_22"	"ORGANISM"	"habit"	""	""									
"sub_22"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_23"	"ORGANISM"	"organismQuantity"		""									
"sub_23"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_23"	"ORGANISM"	"habit"	""	""									
"sub_23"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_24"	"ORGANISM"	"organismQuantity"		""									
"sub_24"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_24"	"ORGANISM"	"habit"	""	""									
"sub_24"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_25"	"ORGANISM"	"organismQuantity"		""									
"sub_25"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_25"	"ORGANISM"	"habit"	""	""									
"sub_25"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_26"	"ORGANISM"	"organismQuantity"		""									
"sub_26"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_26"	"ORGANISM"	"habit"	""	""									
"sub_26"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_27"	"ORGANISM"	"organismQuantity"		""									
"sub_27"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_27"	"ORGANISM"	"habit"	""	""									
"sub_27"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_28"	"ORGANISM"	"organismQuantity"		""									
"sub_28"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_28"	"ORGANISM"	"habit"	""	""									
"sub_28"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_29"	"ORGANISM"	"organismQuantity"		""									
"sub_29"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_29"	"ORGANISM"	"habit"	""	""									
"sub_29"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_30"	"ORGANISM"	"organismQuantity"		""									
"sub_30"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_30"	"ORGANISM"	"habit"	""	""									
"sub_30"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_31"	"ORGANISM"	"organismQuantity"		""									
"sub_31"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_31"	"ORGANISM"	"habit"	""	""									
"sub_31"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_32"	"ORGANISM"	"organismQuantity"		""									
"sub_32"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_32"	"ORGANISM"	"habit"	""	""									
"sub_32"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_33"	"ORGANISM"	"organismQuantity"		""									
"sub_33"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_33"	"ORGANISM"	"habit"	""	""									
"sub_33"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_34"	"ORGANISM"	"organismQuantity"		""									
"sub_34"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_34"	"ORGANISM"	"habit"	""	""									
"sub_34"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_35"	"ORGANISM"	"organismQuantity"		""									
"sub_35"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_35"	"ORGANISM"	"habit"	""	""									
"sub_35"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_36"	"ORGANISM"	"organismQuantity"		""									
"sub_36"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_36"	"ORGANISM"	"habit"	""	""									
"sub_36"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_37"	"ORGANISM"	"organismQuantity"		""									
"sub_37"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_37"	"ORGANISM"	"habit"	""	""									
"sub_37"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_38"	"ORGANISM"	"organismQuantity"		""									
"sub_38"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_38"	"ORGANISM"	"habit"	""	""									
"sub_38"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_39"	"ORGANISM"	"organismQuantity"		""									
"sub_39"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_39"	"ORGANISM"	"habit"	""	""									
"sub_39"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_40"	"ORGANISM"	"organismQuantity"		""									
"sub_40"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_40"	"ORGANISM"	"habit"	""	""									
"sub_40"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_41"	"ORGANISM"	"organismQuantity"		""									
"sub_41"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_41"	"ORGANISM"	"habit"	""	""									
"sub_41"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_42"	"ORGANISM"	"organismQuantity"		""									
"sub_42"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_42"	"ORGANISM"	"habit"	""	""									
"sub_42"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_43"	"ORGANISM"	"organismQuantity"		""									
"sub_43"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_43"	"ORGANISM"	"habit"	""	""									
"sub_43"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_44"	"ORGANISM"	"organismQuantity"		""									
"sub_44"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_44"	"ORGANISM"	"habit"	""	""									
"sub_44"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_45"	"ORGANISM"	"organismQuantity"		""									
"sub_45"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_45"	"ORGANISM"	"habit"	""	""									
"sub_45"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_46"	"ORGANISM"	"organismQuantity"		""									
"sub_46"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_46"	"ORGANISM"	"habit"	""	""									
"sub_46"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_47"	"ORGANISM"	"organismQuantity"		""									
"sub_47"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_47"	"ORGANISM"	"habit"	""	""									
"sub_47"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_48"	"ORGANISM"	"organismQuantity"		""									
"sub_48"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_48"	"ORGANISM"	"habit"	""	""									
"sub_48"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_49"	"ORGANISM"	"organismQuantity"		""									
"sub_49"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_49"	"ORGANISM"	"habit"	""	""									
"sub_49"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_50"	"ORGANISM"	"organismQuantity"		""									
"sub_50"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_50"	"ORGANISM"	"habit"	""	""									
"sub_50"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_51"	"ORGANISM"	"organismQuantity"		""									
"sub_51"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_51"	"ORGANISM"	"habit"	""	""									
"sub_51"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_52"	"ORGANISM"	"organismQuantity"		""									
"sub_52"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_52"	"ORGANISM"	"habit"	""	""									
"sub_52"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_53"	"ORGANISM"	"organismQuantity"		""									
"sub_53"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_53"	"ORGANISM"	"habit"	""	""									
"sub_53"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_54"	"ORGANISM"	"organismQuantity"		""									
"sub_54"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_54"	"ORGANISM"	"habit"	""	""									
"sub_54"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_55"	"ORGANISM"	"organismQuantity"		""									
"sub_55"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_55"	"ORGANISM"	"habit"	""	""									
"sub_55"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_56"	"ORGANISM"	"organismQuantity"		""									
"sub_56"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_56"	"ORGANISM"	"habit"	""	""									
"sub_56"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_57"	"ORGANISM"	"organismQuantity"		""									
"sub_57"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_57"	"ORGANISM"	"habit"	""	""									
"sub_57"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_58"	"ORGANISM"	"organismQuantity"		""									
"sub_58"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_58"	"ORGANISM"	"habit"	""	""									
"sub_58"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_59"	"ORGANISM"	"organismQuantity"		""									
"sub_59"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_59"	"ORGANISM"	"habit"	""	""									
"sub_59"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_60"	"ORGANISM"	"organismQuantity"		""									
"sub_60"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_60"	"ORGANISM"	"habit"	""	""									
"sub_60"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_61"	"ORGANISM"	"organismQuantity"		""									
"sub_61"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_61"	"ORGANISM"	"habit"	""	""									
"sub_61"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_62"	"ORGANISM"	"organismQuantity"		""									
"sub_62"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_62"	"ORGANISM"	"habit"	""	""									
"sub_62"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_63"	"ORGANISM"	"organismQuantity"		""									
"sub_63"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_63"	"ORGANISM"	"habit"	""	""									
"sub_63"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_64"	"ORGANISM"	"organismQuantity"		""									
"sub_64"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_64"	"ORGANISM"	"habit"	""	""									
"sub_64"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_65"	"ORGANISM"	"organismQuantity"		""									
"sub_65"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_65"	"ORGANISM"	"habit"	""	""									
"sub_65"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_66"	"ORGANISM"	"organismQuantity"		""									
"sub_66"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_66"	"ORGANISM"	"habit"	""	""									
"sub_66"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_67"	"ORGANISM"	"organismQuantity"		""									
"sub_67"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_67"	"ORGANISM"	"habit"	""	""									
"sub_67"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_68"	"ORGANISM"	"organismQuantity"		""									
"sub_68"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_68"	"ORGANISM"	"habit"	""	""									
"sub_68"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_69"	"ORGANISM"	"organismQuantity"		""									
"sub_69"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_69"	"ORGANISM"	"habit"	""	""									
"sub_69"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_70"	"ORGANISM"	"organismQuantity"		""									
"sub_70"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_70"	"ORGANISM"	"habit"	""	""									
"sub_70"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_71"	"ORGANISM"	"organismQuantity"		""									
"sub_71"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_71"	"ORGANISM"	"habit"	""	""									
"sub_71"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_72"	"ORGANISM"	"organismQuantity"		""									
"sub_72"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_72"	"ORGANISM"	"habit"	""	""									
"sub_72"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_73"	"ORGANISM"	"organismQuantity"		""									
"sub_73"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_73"	"ORGANISM"	"habit"	""	""									
"sub_73"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_74"	"ORGANISM"	"organismQuantity"		""									
"sub_74"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_74"	"ORGANISM"	"habit"	""	""									
"sub_74"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_75"	"ORGANISM"	"organismQuantity"		""									
"sub_75"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_75"	"ORGANISM"	"habit"	""	""									
"sub_75"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_76"	"ORGANISM"	"organismQuantity"		""									
"sub_76"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_76"	"ORGANISM"	"habit"	""	""									
"sub_76"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_77"	"ORGANISM"	"organismQuantity"		""									
"sub_77"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_77"	"ORGANISM"	"habit"	""	""									
"sub_77"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_78"	"ORGANISM"	"organismQuantity"		""									
"sub_78"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_78"	"ORGANISM"	"habit"	""	""									
"sub_78"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_79"	"ORGANISM"	"organismQuantity"		""									
"sub_79"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_79"	"ORGANISM"	"habit"	""	""									
"sub_79"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_80"	"ORGANISM"	"organismQuantity"		""									
"sub_80"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_80"	"ORGANISM"	"habit"	""	""									
"sub_80"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_81"	"ORGANISM"	"organismQuantity"		""									
"sub_81"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_81"	"ORGANISM"	"habit"	""	""									
"sub_81"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_82"	"ORGANISM"	"organismQuantity"		""									
"sub_82"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_82"	"ORGANISM"	"habit"	""	""									
"sub_82"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_83"	"ORGANISM"	"organismQuantity"		""									
"sub_83"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_83"	"ORGANISM"	"habit"	""	""									
"sub_83"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_84"	"ORGANISM"	"organismQuantity"		""									
"sub_84"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_84"	"ORGANISM"	"habit"	""	""									
"sub_84"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_85"	"ORGANISM"	"organismQuantity"		""									
"sub_85"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_85"	"ORGANISM"	"habit"	""	""									
"sub_85"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_86"	"ORGANISM"	"organismQuantity"		""									
"sub_86"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_86"	"ORGANISM"	"habit"	""	""									
"sub_86"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_87"	"ORGANISM"	"organismQuantity"		""									
"sub_87"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_87"	"ORGANISM"	"habit"	""	""									
"sub_87"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_88"	"ORGANISM"	"organismQuantity"		""									
"sub_88"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_88"	"ORGANISM"	"habit"	""	""									
"sub_88"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_89"	"ORGANISM"	"organismQuantity"		""									
"sub_89"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_89"	"ORGANISM"	"habit"	""	""									
"sub_89"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_90"	"ORGANISM"	"organismQuantity"		""									
"sub_90"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_90"	"ORGANISM"	"habit"	""	""									
"sub_90"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_91"	"ORGANISM"	"organismQuantity"		""									
"sub_91"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_91"	"ORGANISM"	"habit"	""	""									
"sub_91"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_92"	"ORGANISM"	"organismQuantity"		""									
"sub_92"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_92"	"ORGANISM"	"habit"	""	""									
"sub_92"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_93"	"ORGANISM"	"organismQuantity"		""									
"sub_93"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_93"	"ORGANISM"	"habit"	""	""									
"sub_93"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_94"	"ORGANISM"	"organismQuantity"		""									
"sub_94"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_94"	"ORGANISM"	"habit"	""	""									
"sub_94"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_95"	"ORGANISM"	"organismQuantity"		""									
"sub_95"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_95"	"ORGANISM"	"habit"	""	""									
"sub_95"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_96"	"ORGANISM"	"organismQuantity"		""									
"sub_96"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_96"	"ORGANISM"	"habit"	""	""									
"sub_96"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_97"	"ORGANISM"	"organismQuantity"		""									
"sub_97"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_97"	"ORGANISM"	"habit"	""	""									
"sub_97"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_98"	"ORGANISM"	"organismQuantity"		""									
"sub_98"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_98"	"ORGANISM"	"habit"	""	""									
"sub_98"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_99"	"ORGANISM"	"organismQuantity"	""	"22"									
"sub_99"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_99"	"ORGANISM"	"habit"	""	""									
"sub_99"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_100"	"ORGANISM"	"organismQuantity"		""									
"sub_100"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_100"	"ORGANISM"	"habit"	""	""									
"sub_100"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_101"	"ORGANISM"	"organismQuantity"		""									
"sub_101"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_101"	"ORGANISM"	"habit"	""	""									
"sub_101"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_102"	"ORGANISM"	"organismQuantity"		""									
"sub_102"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_102"	"ORGANISM"	"habit"	""	""									
"sub_102"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_103"	"ORGANISM"	"organismQuantity"		""									
"sub_103"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_103"	"ORGANISM"	"habit"	""	""									
"sub_103"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_104"	"ORGANISM"	"organismQuantity"		""									
"sub_104"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_104"	"ORGANISM"	"habit"	""	""									
"sub_104"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_105"	"ORGANISM"	"organismQuantity"		""									
"sub_105"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_105"	"ORGANISM"	"habit"	""	""									
"sub_105"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_106"	"ORGANISM"	"organismQuantity"		""									
"sub_106"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_106"	"ORGANISM"	"habit"	""	""									
"sub_106"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_107"	"ORGANISM"	"organismQuantity"		""									
"sub_107"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_107"	"ORGANISM"	"habit"	""	""									
"sub_107"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_108"	"ORGANISM"	"organismQuantity"		""									
"sub_108"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_108"	"ORGANISM"	"habit"	""	""									
"sub_108"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_109"	"ORGANISM"	"organismQuantity"		""									
"sub_109"	"ORGANISM"	"establishmentMeans"	"native"	""									
"sub_109"	"ORGANISM"	"habit"	""	""									
"sub_109"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_110"	"ORGANISM"	"organismQuantity"		""									
"sub_110"	"ORGANISM"	"establishmentMeans"	""	""									
"sub_110"	"ORGANISM"	"habit"	""	""									
"sub_110"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_111"	"ORGANISM"	"organismQuantity"		""									
"sub_111"	"ORGANISM"	"establishmentMeans"	""	""									
"sub_111"	"ORGANISM"	"habit"	""	""									
"sub_111"	"ORGANISM"	"selfIncompatability"	""	""									
"sub_112"	"ORGANISM"	"organismQuantity"		""									
"sub_112"	"ORGANISM"	"establishmentMeans"	""	""									
