target_id	target_type	assertion_type	assertion_value	assertion_value_numeric	assertion_unit	assertion_made_date	assertion_effective_date	assertion_protocol_id
E2	EVENT	number of visitors		1				
E3	EVENT	number of visitors		1				
E4	EVENT	number of visitors		1				
E5	EVENT	number of visitors		1				
E6	EVENT	number of visitors		1				
E7	EVENT	number of visitors		1				
E8	EVENT	number of visitors		1				
E9	EVENT	number of visitors		1				
E10	EVENT	number of visitors		1				
E11	EVENT	number of visitors		1				
E12	EVENT	number of visitors		1				
E13	EVENT	number of visitors		1				
E14	EVENT	number of visitors		1				
E15	EVENT	number of visitors		1				
E16	EVENT	number of visitors		1				
E17	EVENT	number of visitors		1				
E18	EVENT	number of visitors		1				
E19	EVENT	number of visitors		1				
E20	EVENT	number of visitors		1				
E21	EVENT	number of visitors		1				
E22	EVENT	number of visitors		1				
E23	EVENT	number of visitors		1				
E24	EVENT	number of visitors		1				
E25	EVENT	number of visitors		1				
E26	EVENT	number of visitors		1				
E27	EVENT	number of visitors		1				
E28	EVENT	number of visitors		1				
E29	EVENT	number of visitors		1				
E30	EVENT	number of visitors		1				
E31	EVENT	number of visitors		1				
E32	EVENT	number of visitors		1				
E33	EVENT	number of visitors		1				
E34	EVENT	number of visitors		2				
E35	EVENT	number of visitors		2				
E36	EVENT	number of visitors		2				
E37	EVENT	number of visitors		2				
E38	EVENT	number of visitors		2				
E39	EVENT	number of visitors		2				
E40	EVENT	number of visitors		2				
E41	EVENT	number of visitors		2				
E42	EVENT	number of visitors		2				
E43	EVENT	number of visitors		2				
E44	EVENT	number of visitors		2				
E45	EVENT	number of visitors		2				
E46	EVENT	number of visitors		2				
E47	EVENT	number of visitors		2				
E48	EVENT	number of visitors		2				
E49	EVENT	number of visitors		2				
E50	EVENT	number of visitors		2				
E51	EVENT	number of visitors		3				
E52	EVENT	number of visitors		3				
E53	EVENT	number of visitors		3				
E54	EVENT	number of visitors		3				
E55	EVENT	number of visitors		4				
E56	EVENT	number of visitors		5				
E57	EVENT	number of visitors		5				
E58	EVENT	number of visitors		5				
E59	EVENT	number of visitors		8				
E60	EVENT	number of visitors		8.8				
E61	EVENT	number of visitors		10				
E62	EVENT	number of visitors		24				
E63	EVENT	number of visitors		1				
E64	EVENT	number of visitors		1				
E65	EVENT	number of visitors		1				
E66	EVENT	number of visitors		1				
E67	EVENT	number of visitors		1				
E68	EVENT	number of visitors		1				
E69	EVENT	number of visitors		1				
E70	EVENT	number of visitors		1				
E71	EVENT	number of visitors		1				
E72	EVENT	number of visitors		1				
E73	EVENT	number of visitors		1				
E74	EVENT	number of visitors		1				
E75	EVENT	number of visitors		1				
E76	EVENT	number of visitors		1				
E77	EVENT	number of visitors		1				
E78	EVENT	number of visitors		1				
E79	EVENT	number of visitors		1				
E80	EVENT	number of visitors		1				
E81	EVENT	number of visitors		1				
E82	EVENT	number of visitors		1				
E83	EVENT	number of visitors		1				
E84	EVENT	number of visitors		1				
E85	EVENT	number of visitors		1				
E86	EVENT	number of visitors		1				
E87	EVENT	number of visitors		1.01				
E88	EVENT	number of visitors		2				
E89	EVENT	number of visitors		2				
E90	EVENT	number of visitors		2				
E91	EVENT	number of visitors		3				
E92	EVENT	number of visitors		3.01				
E93	EVENT	number of visitors		5.02				
E94	EVENT	number of visitors		8				
E95	EVENT	number of visitors		0.01				
E96	EVENT	number of visitors		0.01				
E97	EVENT	number of visitors		1				
E98	EVENT	number of visitors		1				
E99	EVENT	number of visitors		1				
E100	EVENT	number of visitors		1				
E101	EVENT	number of visitors		1				
E102	EVENT	number of visitors		1				
E103	EVENT	number of visitors		1				
E104	EVENT	number of visitors		1				
E105	EVENT	number of visitors		1				
E106	EVENT	number of visitors		1				
E107	EVENT	number of visitors		1				
E108	EVENT	number of visitors		1				
E109	EVENT	number of visitors		1				
E110	EVENT	number of visitors		2				
E111	EVENT	number of visitors		2				
E112	EVENT	number of visitors		4.01				
E113	EVENT	number of visitors		0.01				
E114	EVENT	number of visitors		0.01				
E115	EVENT	number of visitors		0.01				
E116	EVENT	number of visitors		1				
E117	EVENT	number of visitors		1				
E118	EVENT	number of visitors		1				
E119	EVENT	number of visitors		1				
E120	EVENT	number of visitors		1				
E121	EVENT	number of visitors		1				
E122	EVENT	number of visitors		1				
E123	EVENT	number of visitors		1				
E124	EVENT	number of visitors		1				
E125	EVENT	number of visitors		1				
E126	EVENT	number of visitors		1				
E127	EVENT	number of visitors		1				
E128	EVENT	number of visitors		1				
E129	EVENT	number of visitors		1				
E130	EVENT	number of visitors		1				
E131	EVENT	number of visitors		1				
E132	EVENT	number of visitors		1				
E133	EVENT	number of visitors		1				
E134	EVENT	number of visitors		1				
E135	EVENT	number of visitors		1				
E136	EVENT	number of visitors		1				
E137	EVENT	number of visitors		1				
E138	EVENT	number of visitors		1				
E139	EVENT	number of visitors		1				
E140	EVENT	number of visitors		1				
E141	EVENT	number of visitors		1				
E142	EVENT	number of visitors		1.5				
E143	EVENT	number of visitors		2				
E144	EVENT	number of visitors		2				
E145	EVENT	number of visitors		2				
E146	EVENT	number of visitors		2				
E147	EVENT	number of visitors		2				
E148	EVENT	number of visitors		2				
E149	EVENT	number of visitors		3				
E150	EVENT	number of visitors		3				
E151	EVENT	number of visitors		4				
E152	EVENT	number of visitors		4				
E153	EVENT	number of visitors		4				
E154	EVENT	number of visitors		4				
E155	EVENT	number of visitors		4				
E156	EVENT	number of visitors		9				
E157	EVENT	number of visitors		9				
E158	EVENT	number of visitors		12				
E159	EVENT	number of visitors		17				
E160	EVENT	number of visitors		0.01				
E161	EVENT	number of visitors		1				
E162	EVENT	number of visitors		1				
E163	EVENT	number of visitors		1				
E164	EVENT	number of visitors		1				
E165	EVENT	number of visitors		1				
E166	EVENT	number of visitors		1				
E167	EVENT	number of visitors		1				
E168	EVENT	number of visitors		1				
E169	EVENT	number of visitors		1				
E170	EVENT	number of visitors		1				
E171	EVENT	number of visitors		1				
E172	EVENT	number of visitors		1				
E173	EVENT	number of visitors		1				
E174	EVENT	number of visitors		1				
E175	EVENT	number of visitors		1				
E176	EVENT	number of visitors		1				
E177	EVENT	number of visitors		1				
E178	EVENT	number of visitors		1				
