eventID	parentEventID	datasetID	locationID	protocolID\	eventType	eventName	recordedBy	recordedByID	fieldNumber	eventDate	eventTime	year	month	day	verbatimEventDate	habitat	protocolDescription	sampleSizeValue	sampleSizeUnit	eventEffort minutes	fieldNotes	eventCitation	eventRemarks	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verticalDatum	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks
E1			1		FIELD_EXPEDITION											calcareous/grassland	Timed observations	1480	m2				Timed observations all visitors							England	GB																																			
E2	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E3	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E4	E1		1		ORGANISM_INTERACTION															40 minutes										England	GB																																			
E5	E1		1		ORGANISM_INTERACTION															60 minutes										England	GB																																			
E6	E1		1		ORGANISM_INTERACTION															120 minutes										England	GB																																			
E7	E1		1		ORGANISM_INTERACTION															120 minutes										England	GB																																			
E8	E1		1		ORGANISM_INTERACTION															120 minutes										England	GB																																			
E9	E1		1		ORGANISM_INTERACTION															140 minutes										England	GB																																			
E10	E1		1		ORGANISM_INTERACTION															200 minutes										England	GB																																			
E11	E1		1		ORGANISM_INTERACTION															200 minutes										England	GB																																			
E12	E1		1		ORGANISM_INTERACTION															360 minutes										England	GB																																			
E13	E1		1		ORGANISM_INTERACTION															360 minutes										England	GB																																			
E14	E1		1		ORGANISM_INTERACTION															360 minutes										England	GB																																			
E15	E1		1		ORGANISM_INTERACTION															400 minutes										England	GB																																			
E16	E1		1		ORGANISM_INTERACTION															400 minutes										England	GB																																			
E17	E1		1		ORGANISM_INTERACTION															480 minutes										England	GB																																			
E18	E1		1		ORGANISM_INTERACTION															480 minutes										England	GB																																			
E19	E1		1		ORGANISM_INTERACTION															520 minutes										England	GB																																			
E20	E1		1		ORGANISM_INTERACTION															520 minutes										England	GB																																			
E21	E1		1		ORGANISM_INTERACTION															520 minutes										England	GB																																			
E22	E1		1		ORGANISM_INTERACTION															560 minutes										England	GB																																			
E23	E1		1		ORGANISM_INTERACTION															560 minutes										England	GB																																			
E24	E1		1		ORGANISM_INTERACTION															560 minutes										England	GB																																			
E25	E1		1		ORGANISM_INTERACTION															560 minutes										England	GB																																			
E26	E1		1		ORGANISM_INTERACTION															820 minutes										England	GB																																			
E27	E1		1		ORGANISM_INTERACTION															820 minutes										England	GB																																			
E28	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E29	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E30	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E31	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E32	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E33	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E34	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E35	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E36	E1		1		ORGANISM_INTERACTION															40 minutes										England	GB																																			
E37	E1		1		ORGANISM_INTERACTION															140 minutes										England	GB																																			
E38	E1		1		ORGANISM_INTERACTION															200 minutes										England	GB																																			
E39	E1		1		ORGANISM_INTERACTION															300 minutes										England	GB																																			
E40	E1		1		ORGANISM_INTERACTION															360 minutes										England	GB																																			
E41	E1		1		ORGANISM_INTERACTION															360 minutes										England	GB																																			
E42	E1		1		ORGANISM_INTERACTION															480 minutes										England	GB																																			
E43	E1		1		ORGANISM_INTERACTION															520 minutes										England	GB																																			
E44	E1		1		ORGANISM_INTERACTION															520 minutes										England	GB																																			
E45	E1		1		ORGANISM_INTERACTION															520 minutes										England	GB																																			
E46	E1		1		ORGANISM_INTERACTION															820 minutes										England	GB																																			
E47	E1		1		ORGANISM_INTERACTION															820 minutes										England	GB																																			
E48	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E49	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E50	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E51	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E52	E1		1		ORGANISM_INTERACTION															120 minutes										England	GB																																			
E53	E1		1		ORGANISM_INTERACTION															360 minutes										England	GB																																			
E54	E1		1		ORGANISM_INTERACTION															2400 minutes										England	GB																																			
E55	E1		1		ORGANISM_INTERACTION															820 minutes										England	GB																																			
E56	E1		1		ORGANISM_INTERACTION															200 minutes										England	GB																																			
E57	E1		1		ORGANISM_INTERACTION															200 minutes										England	GB																																			
E58	E1		1		ORGANISM_INTERACTION															480 minutes										England	GB																																			
E59	E1		1		ORGANISM_INTERACTION															560 minutes										England	GB																																			
E60	E1		1		ORGANISM_INTERACTION															400 minutes										England	GB																																			
E61	E1		1		ORGANISM_INTERACTION															520 minutes										England	GB																																			
E62	E1		1		ORGANISM_INTERACTION															200 minutes										England	GB																																			
E63	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E64	E1		1		ORGANISM_INTERACTION															60 minutes										England	GB																																			
E65	E1		1		ORGANISM_INTERACTION															140 minutes										England	GB																																			
E66	E1		1		ORGANISM_INTERACTION															140 minutes										England	GB																																			
E67	E1		1		ORGANISM_INTERACTION															140 minutes										England	GB																																			
E68	E1		1		ORGANISM_INTERACTION															140 minutes										England	GB																																			
E69	E1		1		ORGANISM_INTERACTION															260 minutes										England	GB																																			
E70	E1		1		ORGANISM_INTERACTION															260 minutes										England	GB																																			
E71	E1		1		ORGANISM_INTERACTION															300 minutes										England	GB																																			
E72	E1		1		ORGANISM_INTERACTION															300 minutes										England	GB																																			
E73	E1		1		ORGANISM_INTERACTION															300 minutes										England	GB																																			
E74	E1		1		ORGANISM_INTERACTION															300 minutes										England	GB																																			
E75	E1		1		ORGANISM_INTERACTION															400 minutes										England	GB																																			
E76	E1		1		ORGANISM_INTERACTION															1080 minutes										England	GB																																			
E77	E1		1		ORGANISM_INTERACTION															1080 minutes										England	GB																																			
E78	E1		1		ORGANISM_INTERACTION															1080 minutes										England	GB																																			
E79	E1		1		ORGANISM_INTERACTION															1100 minutes										England	GB																																			
E80	E1		1		ORGANISM_INTERACTION															1100 minutes										England	GB																																			
E81	E1		1		ORGANISM_INTERACTION															1380 minutes										England	GB																																			
E82	E1		1		ORGANISM_INTERACTION															3340 minutes										England	GB																																			
E83	E1		1		ORGANISM_INTERACTION															3340 minutes										England	GB																																			
E84	E1		1		ORGANISM_INTERACTION															3340 minutes										England	GB																																			
E85	E1		1		ORGANISM_INTERACTION															3340 minutes										England	GB																																			
E86	E1		1		ORGANISM_INTERACTION															3340 minutes										England	GB																																			
E87	E1		1		ORGANISM_INTERACTION															3340 minutes										England	GB																																			
E88	E1		1		ORGANISM_INTERACTION															140 minutes										England	GB																																			
E89	E1		1		ORGANISM_INTERACTION															260 minutes										England	GB																																			
E90	E1		1		ORGANISM_INTERACTION															400 minutes										England	GB																																			
E91	E1		1		ORGANISM_INTERACTION															120 minutes										England	GB																																			
E92	E1		1		ORGANISM_INTERACTION															740 minutes										England	GB																																			
E93	E1		1		ORGANISM_INTERACTION															3340 minutes										England	GB																																			
E94	E1		1		ORGANISM_INTERACTION															260 minutes										England	GB																																			
E95	E1		1		ORGANISM_INTERACTION															40 minutes										England	GB																																			
E96	E1		1		ORGANISM_INTERACTION															900 minutes										England	GB																																			
E97	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E98	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E99	E1		1		ORGANISM_INTERACTION															20 minutes										England	GB																																			
E100	E1		1		ORGANISM_INTERACTION															60 minutes										England	GB																																			
E101	E1		1		ORGANISM_INTERACTION															60 minutes										England	GB																																			
E102	E1		1		ORGANISM_INTERACTION															60 minutes										England	GB																																			
E103	E1		1		ORGANISM_INTERACTION															200 minutes										England	GB																																			
E104	E1		1		ORGANISM_INTERACTION															460 minutes										England	GB																																			
E105	E1		1		ORGANISM_INTERACTION															900 minutes										England	GB																																			
E106	E1		1		ORGANISM_INTERACTION															1040 minutes										England	GB																																			
E107	E1		1		ORGANISM_INTERACTION															1040 minutes										England	GB																																			
E108	E1		1		ORGANISM_INTERACTION															1200 minutes										England	GB																																			
E109	E1		1		ORGANISM_INTERACTION															2260 minutes										England	GB																																			
E110	E1		1		ORGANISM_INTERACTION															80 minutes										England	GB																																			
E111	E1		1		ORGANISM_INTERACTION															2260 minutes										England	GB																																			
E112	E1		1		ORGANISM_INTERACTION															900 minutes										England	GB																																			
E113	E1		1		ORGANISM_INTERACTION															40 minutes										England	GB																																			
E114	E1		1		ORGANISM_INTERACTION															80 minutes										England	GB																																			
E115	E1		1		ORGANISM_INTERACTION															80 minutes										England	GB																																			
E116	E1		1		ORGANISM_INTERACTION															40 minutes										England	GB																																			
E117	E1		1		ORGANISM_INTERACTION															80 minutes										England	GB																																			
E118	E1		1		ORGANISM_INTERACTION															80 minutes										England	GB																																			
E119	E1		1		ORGANISM_INTERACTION															80 minutes										England	GB																																			
E120	E1		1		ORGANISM_INTERACTION															120 minutes										England	GB																																			
E121	E1		1		ORGANISM_INTERACTION															120 minutes										England	GB																																			
E122	E1		1		ORGANISM_INTERACTION															120 minutes										England	GB																																			
E123	E1		1		ORGANISM_INTERACTION															140 minutes										England	GB																																			
